Ticker,Sector,Industry
PRANIK.NS,Transportation,Air Freight/Couriers
PRATHAM.NS,Industrial Services,Oilfield Services/Equipment
PRAVEG.NS,Health Technology,Pharmaceuticals: Major
PRAXIS.NS,Retail Trade,Specialty Stores
PRECAM.NS,Producer Manufacturing,Auto Parts: OEM
PRECISION.NS,Non-Energy Minerals,Aluminum
PRECOT.NS,Process Industries,Textiles
PRECWIRE.NS,Producer Manufacturing,Electrical Products
PREMCO.NS,Process Industries,Textiles
PREMEXPLN.NS,Process Industries,Chemicals: Specialty
PREMIER.NS,Producer Manufacturing,Industrial Machinery
PREMIERENE.NS,Electronic Technology,Semiconductors
PREMIERPOL.NS,Non-Energy Minerals,Forest Products
PREMIUM.NS,Producer Manufacturing,Miscellaneous Manufacturing
PRESSTONIC.NS,Producer Manufacturing,Trucks/Construction/Farm Machinery
PRESTIGE.NS,Finance,Real Estate Development
PRICOLLTD.NS,Producer Manufacturing,Auto Parts: OEM
PRIMECAB.NS,Producer Manufacturing,Electrical Products
PRIMESECU.NS,Finance,Investment Banks/Brokers
PRIMO.NS,Process Industries,Chemicals: Specialty
PRINCEPIPE.NS,Producer Manufacturing,Industrial Machinery
PRIORITY.NS,Consumer Durables,Other Consumer Specialties
PRISMX.NS,Commercial Services,Miscellaneous Commercial Services
PRITI.NS,Consumer Durables,Home Furnishings
PRITIKA.NS,Producer Manufacturing,Auto Parts: OEM
PRITIKAUTO.NS,Producer Manufacturing,Auto Parts: OEM
PRIVISCL.NS,Process Industries,Chemicals: Major Diversified
PRIZOR.NS,Distribution Services,Wholesale Distributors
PRLIND.NS,Transportation,Trucking
PROFX.NS,Distribution Services,Wholesale Distributors
PROLIFE.NS,Process Industries,Chemicals: Specialty
PROPEQUITY.NS,Technology Services,Internet Software/Services
PROPSHOP.NS,Commercial Services,Miscellaneous Commercial Services
PROSTARM.NS,Producer Manufacturing,Electrical Products
PROTEAN.NS,Technology Services,Information Technology Services
PROV.NS,Distribution Services,Food Distributors
PROZONER.NS,Finance,Real Estate Development
PRSMJOHNSN.NS,Non-Energy Minerals,Construction Materials
PRUDENT.NS,Finance,Investment Managers
PRUDMOULI.NS,Process Industries,Agricultural Commodities/Milling
PSB.NS,Finance,Major Banks
PSFL.NS,Producer Manufacturing,Metal Fabrication
PSPPROJECT.NS,Industrial Services,Engineering & Construction
PSRAJ.NS,Non-Energy Minerals,Steel
PTC.NS,Utilities,Electric Utilities
PTCIL.NS,Producer Manufacturing,Metal Fabrication
PTL.NS,Finance,Real Estate Development
PULZ.NS,Consumer Durables,Electronics/Appliances
PUNJABCHEM.NS,Process Industries,Chemicals: Agricultural
PURPLEUTED.NS,Consumer Non-Durables,Apparel/Footwear
PURVA.NS,Finance,Real Estate Development
PURVFLEXI.NS,Distribution Services,Wholesale Distributors
PUSHPA.NS,Consumer Durables,Other Consumer Specialties
PVP.NS,Technology Services,Information Technology Services
PVRINOX.NS,Consumer Services,Movies/Entertainment
PVSL.NS,Retail Trade,Specialty Stores
PWL.NS,Commercial Services,Miscellaneous Commercial Services
PYRAMID.NS,Producer Manufacturing,Miscellaneous Manufacturing
QFIL.NS,Non-Energy Minerals,Steel
QLINE.NS,Health Technology,Medical Specialties
QMSMEDI.NS,Distribution Services,Medical Distributors
QPOWER.NS,Producer Manufacturing,Electrical Products
QUADFUTURE.NS,Producer Manufacturing,Electrical Products
