Symbol,Description,"Relative volume, 1 day","Price change %, 1 day","Performance %, 1 week","Performance %, 1 month","Performance %, 3 months","Performance %, 6 months","Performance %, 1 year","Performance %, All Time",Industry,Price,Price - Currency,"High, 52 weeks","High, 52 weeks - Currency","Simple moving average, 50, 1 day","Simple moving average, 200, 1 day","Exponential moving average, 20, 1 day"
HSCL,Himadri Speciality Chemical Ltd.,0.29315829873134,1.367069486404827,-0.9008343793841871,-11.107431447873893,3.9179248935346425,48.36391775370328,43.34080956958239,1990.498442367601,Industrial specialties,671.05,INR,819.5,INR,715.7569999999998,561.94775,695.1239977989533
NSLNISP,NMDC Steel Limited,0.2611168205965317,1.3656387665198337,2.2893976439208736,4.47219069239502,-9.23076923076923,19.843750000000014,6.898954703832766,52.13223140495869,Steel,46.02,INR,53.75,INR,43.264999999999965,42.24265000000004,44.02578505280138
GOLDIAM,Goldiam International Limited,0.9219272742805046,1.3650374284456288,-2.73239436619718,-5.267489711934153,5.960874568469508,40.580152671755734,13.679012345679014,3053.4246575342468,Other consumer specialties,345.3,INR,398.2,INR,354.73425000000003,297.0163124999996,353.85735796506015
AARTIDRUGS,Aarti Drugs Limited,1.590388805195845,1.3619819185158986,3.2902608279492704,4.263285024154584,14.800531914893613,19.63691796008868,-12.382015629757435,3955.431496055631,Pharmaceuticals: major,431.65,INR,534.55,INR,410.45299999999986,387.9709999999994,419.38599945090766
NIITMTS,NIIT Learning Systems Ltd,0.9017004518091273,1.3592929882015168,-0.5064071513496876,-9.692633598465166,2.709337212473865,-29.39375,-33.35103244837758,-38.26775956284153,Miscellaneous commercial services,225.94,INR,443.9,INR,236.96400000000008,306.2207000000003,231.61495416494995
INA,Insolation Energy Ltd.,1.0487613934413562,1.3590924407503018,-0.5071664829107033,-22.22701025596829,-26.093366093366093,-6.969072164948458,-6.969072164948458,-6.969072164948458,Semiconductors,90.24,INR,161.81,INR,106.95300000000002,,95.58867163223266
VOEPL,Virtuoso Optoelectronics Limited,0.25685892754216366,1.3372412529767481,-2.9473684210526234,12.210953346855993,22.960657923983124,22.960657923983124,22.960657923983124,22.960657923983124,Medical specialties,553.2,INR,593.45,INR,,,527.6689105583646
SIMPLEXINF,Simplex Infrastructures Limited,0.5352167780099325,1.3298370481363595,4.238921001926783,16.014753817121292,7.383882493052797,41.09117462966827,-8.568531350346467,2.8517110266159698,Engineering & construction,270.5,INR,330,INR,254.03619999999967,236.45929999999993,258.9634118429829
TRENT,Trent Limited,0.9299800601095889,1.3283136809205887,-1.293938555217274,-8.18395391497442,0.8127208480565371,13.064728628863943,-22.54298681262443,17631.5094283013,Apparel/Footwear retail,2853,INR,3703.66668519,INR,2981.31,2782.317175666897,2910.0384909128697
HAWKINCOOK,Hawkins Cookers Limited,1.6720674011665588,1.3197541279980716,1.896969696969697,-2.1077147016011644,9.88888888888889,10.611842105263158,10.611842105263158,10.611842105263158,Miscellaneous manufacturing,8406.5,INR,9600,INR,8528.400000000001,,8270.077528131047
SYMPHONY,Symphony Limited,0.6283162960133056,1.318086592178783,-3.121609214589756,-14.65441176470588,-16.013024602026046,-23.451823517773523,-40.458602646968295,366.144578313253,Industrial machinery,580.35,INR,970.45,INR,656.1850000000006,773.2184999999985,605.437005943992
ALPEXSOLAR,Alpex Solar Ltd.,2.5790939002784103,1.315864426089428,2.690531177829094,6.688261052126448,-12.384236453201973,25.253521126760557,-27.933549432739067,170.30395136778114,Semiconductors,889.3,INR,1374.85,INR,837.0650000000006,885.2785000000002,847.9611735260505
KISSHT,Onemi Technology Solutions Limited,0.8617201454527882,1.3101867016049786,2.1129085506768024,0.19436345966958948,15.431983579025944,62.789473684210535,62.789473684210535,62.789473684210535,Finance/Rental/Leasing,309.3,INR,351.5,INR,311.454,,305.7932634295124
FILATEX,Filatex India Ltd,0.3806875977765579,1.3034410844629822,-0.8040842373962929,-1.0188487009679026,61.07772020725388,88.09293320425944,42.084095063985366,1715.8878928945767,Textiles,77.72,INR,87.27,INR,72.66679999999998,53.25055,77.86226508165737
WAAREERTL,Waaree Renewable Technologies Ltd,0.7796327722484674,1.30321971930653,-1.811842706904425,-5.920043811610071,-12.172801635991817,5.263480392156868,-16.73613803799921,-2.938019097124131,Alternative power generation,858.95,INR,1358,INR,935.812,944.1007500000003,881.2341946638973
OMNI,Omnitech Engineering Limited,0.6094316875723372,1.2999518536350505,-8.680555555555555,-14.332247557003257,3.0261482714719397,155.3398058252427,160.3960396039604,160.3960396039604,Metal fabrication,526,INR,764.85,INR,567.4929999999998,,561.5442170187655
PDSL,PDS Limited,0.6802201994876547,1.2998022040124395,-2.395861693438609,1.1568848758465076,11.404599129894342,19.899665551839465,9.298780487804878,617.2869434688653,Apparel/Footwear,358.5,INR,418.5,INR,362.7709999999999,331.77025000000015,363.07887111715485
JSWSTEEL,JSW Steel Limited,0.581734637221193,1.2996941896024465,-0.763930497303778,1.5714833269451898,1.8369072323418716,6.794551462883852,23.25581395348837,4316.666666666667,Steel,1325,INR,1351,INR,1272.8420000000003,1224.3400000000008,1305.4215028079727
VOGL,Vedanta Oil and Gas Limited,0.5632422768210983,1.2786361214704423,-9.260143198090681,0.05263157894737665,0.05263157894737665,0.05263157894737665,0.05263157894737665,0.05263157894737665,Oil & gas production,38.02,INR,47.6,INR,37.2292,,38.2223154985097
WAKEFIT,Wakefit Innovations Limited,0.7296618575993115,1.276396685378258,3.447098976109223,17.736171535114988,31.782608695652183,-15.889665889665887,-22.282051282051277,-22.282051282051277,Specialty stores,151.55,INR,224,INR,131.87240000000003,,141.43127545363583
ADANIENT,Adani Enterprises Limited,0.38967005777221403,1.275422268183385,-7.318611987381703,-3.8297872340425534,-1.804812834224599,41.311144245106064,31.134595213753066,51161.235771953725,Wholesale distributors,2938,INR,3245,INR,3056.8720000000003,2509.057999999997,2994.4618580591127
GOCOLORS,Go Fashion (India) Limited,0.22298059487624208,1.271120756471854,-2.3467862481315462,1.3182382133995039,-18.642590286425907,6.958087753765554,-55.82826233941853,-75.06488549618321,Apparel/Footwear,326.65,INR,760.9,INR,338.13899999999995,359.1807500000003,331.931984297028
GUFICBIO,Gufic Biosciences Limited,0.5535233360713787,1.263229771252977,7.933042212518193,11.224999999999996,23.927576601671305,61.811238406983094,21.957236842105253,1302.1687928088668,Pharmaceuticals: major,444.9,INR,453.95,INR,403.56499999999926,338.87850000000054,420.34628379666475
MAHLOG,Mahindra Logistics Ltd.,1.153839017248341,1.2615538346240347,3.313368166178157,-3.5913901771910965,16.815561959654183,5.463770001300897,25.475932518186045,3.5140157134556746,Air freight/Couriers,405.35,INR,450,INR,398.57099999999855,367.7045000000004,399.4591583897652
HEIDELBERG,Heidelbergcement India Limited.,1.4242137008785258,1.2516593969277388,-0.9461966604823755,2.673076923076915,5.8555283854338676,2.0191082802547693,-26.107215353386234,149.87520280421847,Construction materials,160.17,INR,220.9,INR,157.67780000000025,161.77625000000035,158.81880532678463
KPIGREEN,KPI Green Energy Limited,0.5724288025517831,1.2366034624896949,-3.761755485893417,-20.342501297353394,-25.121951219512194,-12.285714285714286,-39.075213335979356,2080.746276507679,Alternative power generation,307,INR,542.25,INR,363.94599999999986,405.08350000000036,322.96173190800494
TANLA,Tanla Platforms Ltd,0.5850726434393393,1.233488733488738,-2.0486796353726113,-15.528000648350769,-0.4774181227919412,18.7129840546697,-18.493900531748515,176.17912761470924,Information technology services,521.15,INR,766,INR,567.839,518.5817500000003,552.1133653868653
INTELLECT,Intellect Design Arena Ltd,1.5302590475182531,1.2310187232787886,1.4254062038404693,-9.651315789473687,-6.514635806671207,4.2986253512569235,-28.30966798914178,958.3342972256992,Packaged software,686.65,INR,1244.6,INR,722.998,790.4130000000006,693.5563384359732
