Ticker,Current_Price,High_52W,Pct_From_High,Avg_Volume,Return_1W,Return_1M,Return_3M,Return_6M,RS_Composite,EMA_10,EMA_20,SMA_50,SMA_100,SMA_200,RS_Percentile,Sector,Industry
HIRECT.NS,1306.9000244140625,1397.5377365248423,-6.485528779792538,138989.988,6.9563792701256455,-0.2518643627532513,24.206533586476887,84.4448766752485,0.41685175800504376,1248.4971973787738,1249.7342748003405,1231.1925561523437,1128.7009075927735,921.6158908081055,86,Producer Manufacturing,Electrical Products
REDINGTON.NS,376.25,381.6000061035156,-1.4019931912853112,6640420.430278884,7.622995832727009,6.526043883446353,66.42710660764597,48.28893451126135,0.41311214146760306,365.86139207713677,354.9694891821747,318.5823846435547,274.51270431518554,262.3839071655273,86,Distribution Services,Electronics Distributors
KDDL.NS,3982.60009765625,4147.172141618966,-3.9682954635799184,30198.991967871487,2.9194256833170007,4.035599603315054,41.918193634150704,71.45424997692955,0.42256220570011743,3920.7013628067425,3861.826273208164,3560.0030615234373,3127.4487036132814,2729.9259924316407,86,Consumer Durables,Other Consumer Specialties
INNOVACAP.NS,1176.0,1200.0,-2.0000000000000018,67499.976,10.102052886469814,21.72653242090794,23.691822245595585,72.75064267352185,0.4156331551591599,1117.9846919605664,1080.8812256454246,1013.3039965820312,940.3119995117188,819.2717984008789,86,Health Technology,Pharmaceuticals: Major
SEDEMAC.NS,2841.699951171875,3368.89990234375,-15.649023908519844,209017.19047619047,-4.915349718404228,-2.290000912494772,7.538314140846736,95.83074901675394,0.39644258694616225,2935.1994795662995,2965.4920762144648,2881.3819873046873,2566.6529833984373,,85,Producer Manufacturing,Auto Parts: OEM
AZAD.NS,2792.5,2986.60009765625,-6.499032053490228,360995.10714285716,0.240503663380065,12.960636288454296,29.877674208936035,73.27500882994968,0.4088948341868955,2806.0793408655004,2756.3517131163467,2543.296015625,2324.6840100097656,1965.291007080078,85,Producer Manufacturing,Metal Fabrication
ARVIND.NS,595.5,597.4000244140625,-0.31804893478637464,659491.1952191235,7.747989113299325,9.010074357716125,21.695697020039063,79.18329559589495,0.4075884112724285,560.534592670704,551.2397683219048,538.723267211914,502.717776184082,420.6788236999512,85,Process Industries,Textiles
ESAFSFB.NS,40.75,44.9900016784668,-9.424319893938026,1179531.0,-1.7598831974263152,2.258473175258402,53.31076040995797,61.770540436888076,0.4097715061305167,41.93162799707493,41.62369089372957,38.96119995117188,33.87319995880127,29.93324993133545,85,Finance,Regional Banks
GLAND.NS,2942.199951171875,3042.0,-3.2807379627917466,368183.008,2.3373896059782684,11.13964782625576,28.524948048783227,75.59696040430026,0.41257937102204056,2905.476562713907,2849.019376919134,2650.0557373046877,2371.543602294922,2046.8400579833985,85,Health Technology,Pharmaceuticals: Major
SAILIFE.NS,1664.5999755859375,1672.0,-0.44258519222861725,548952.7261904762,4.889727510140984,15.245080825943734,36.655447742310486,64.16173329249877,0.401993165558955,1572.2663411205035,1515.5305294431791,1382.297998046875,1264.2039978027344,1094.9194982910155,85,Commercial Services,Miscellaneous Commercial Services
SKIPPER.NS,610.0499877929688,616.6979610926131,-1.077995018479716,606724.9721115538,13.590413230278632,15.943177390390261,12.02624637850256,78.32849645789422,0.3948694929781437,577.2644021288094,563.2084441511498,546.9355084228515,527.6946844482422,460.7402581787109,85,Producer Manufacturing,Metal Fabrication
DYCL.NS,458.0,560.0,-18.214285714285715,561647.015936255,-15.56047577712356,8.312638852813325,51.21519827332834,63.47733374464792,0.4086197317270798,483.17570011766065,469.3620024168118,423.5891143798828,384.12258178710937,344.9880423736572,85,Producer Manufacturing,Electrical Products
STOVEKRAFT.NS,833.4000244140625,873.3447454599583,-4.573763253691798,223095.93975903615,-1.449827445143026,4.932366690523038,28.347235460104937,79.20515922565417,0.4102772492188345,823.2529035987255,808.2198548576567,785.5257495117188,695.7318408203125,616.0698913574219,85,Consumer Durables,Electronics/Appliances
SUDARSCHEM.NS,1251.5999755859375,1595.8711433648984,-21.572616887668282,230028.188,0.8785383124878088,11.819880370444613,46.73954096320416,57.96833548284914,0.3966102638743861,1234.047381853241,1199.940661389444,1089.4152734375,996.1923101806641,947.507594909668,85,Process Industries,Chemicals: Specialty
GKSL.NS,173.25,177.94000244140625,-2.6357212414620634,853471.1028571428,6.648201449458191,29.571454117676055,37.56550471769666,58.58123569794049,0.4128125666296623,166.3521543663075,158.26438935023666,140.65939987182617,135.66680030822755,,85,Health Services,Hospital/Nursing Management
LLOYDSENGG.NS,82.26000213623047,99.47641802454628,-17.30703239039787,8100927.112,-4.835724418227794,-14.85730521445735,19.07931509958358,88.79889515174635,0.3778831910585937,85.37048837957225,87.1044610713422,88.6264437866211,79.51580627441406,64.45916851043701,84,Industrial Services,Engineering & Construction
JGCHEM.NS,606.2000122070312,675.0,-10.192590784143519,229202.1235059761,0.8904113902769906,-2.5949970293967173,41.239514204538594,68.48249938125142,0.39334895747010507,605.9280715167866,598.040083428254,539.0830010986328,477.63850158691406,415.76400039672853,84,Process Industries,Chemicals: Specialty
