Ticker,Industry,Sector,Current_Price,High_52W,Pct_From_High,RS_Percentile,Return_3M,Return_6M,Avg_Volume,Industry_Rank
MARINE.NS,Wholesale Distributors,Distribution Services,416.45001220703125,450.0,-7.455552842881941,96,78.8874599432213,121.59848264640499,654174.2817460317,15
SUVEN.NS,Pharmaceuticals: Major,Health Technology,369.8999938964844,403.3500061035156,-8.293048642832213,96,40.56621792740469,156.1102351689803,794627.7261904762,13
WHEELS.NS,Auto Parts: OEM,Producer Manufacturing,2106.39990234375,2110.0,-0.17062074200236976,96,29.599929700887028,130.6930975674629,160065.98814229248,18
RAYMOND.NS,Textiles,Process Industries,857.7999877929688,869.0,-1.288839149255605,96,54.54463681799493,128.9603634772722,687667.1706349206,17
RISHABH.NS,Electrical Products,Producer Manufacturing,808.2999877929688,822.7999877929688,-1.762275184142137,95,51.16795946568822,114.34442978599364,153654.404,19
SAKAR.NS,Pharmaceuticals: Major,Health Technology,1157.8499755859375,1169.0,-0.9538087608265577,95,44.181556962359146,114.97401189562328,115353.86904761905,13
RUBICON.NS,Biotechnology,Health Technology,1860.5999755859375,1899.0,-2.022118189260791,95,43.76085725868049,136.07831177599343,508307.76785714284,1
INDORAMA.NS,Textiles,Process Industries,74.9800033569336,78.0,-3.8717905680338505,95,65.3362863941899,115.39787532000551,350098.7826086957,17
INDOBORAX.NS,Chemicals: Specialty,Process Industries,511.04998779296875,542.7999877929688,-5.849300057852968,95,49.25651988989335,126.75065849225669,222816.18253968254,11
AVALON.NS,Electronic Production Equipment,Electronic Technology,2290.300048828125,2400.0,-4.570831298828127,95,46.04643031117577,140.83070965595428,370162.55555555556,7
OAL.NS,Chemicals: Specialty,Process Industries,530.9500122070312,545.9500122070312,-2.747504288783087,95,64.90338914952368,107.87820592514011,31481.661354581673,11
UNIHEALTH.NS,Medical/Nursing Services,Health Services,724.0,820.0,-11.707317073170731,95,57.15215559287763,127.49410840534172,37735.8870967742,20
BLSE.NS,Internet Software/Services,Technology Services,322.04998779296875,330.7814213322901,-2.6396384368123527,94,41.22367270429634,127.7286445065219,580462.9407114624,10
RPTECH.NS,Electronics Distributors,Distribution Services,817.9500122070312,965.4798808795799,-15.280470530172485,94,46.81785474673297,134.60606221345043,491888.4466403162,3
COMSYN.NS,Containers/Packaging,Process Industries,301.8500061035156,314.8500061035156,-4.12895021374905,94,77.66334134621862,94.95575956453467,314162.0634920635,9
UNIVCABLES.NS,Electronic Components,Electronic Technology,1524.699951171875,1774.9000244140625,-14.096572753430692,94,30.05921437013963,145.512072760002,177588.62055335968,4
BHAGYANGR.NS,Electrical Products,Producer Manufacturing,392.04998779296875,432.29998779296875,-9.310664153725579,94,28.625329230414344,136.58799825524395,229840.32936507938,19
KENNAMET.NS,Metal Fabrication,Producer Manufacturing,4654.39990234375,4860.0,-4.230454684284979,94,68.96826171987517,90.51198563077367,25334.095238095237,12
PARAS.NS,Aerospace & Defense,Electronic Technology,1504.0,1583.9105379095645,-5.045142133786795,94,52.16202022010865,114.04173953317316,1752453.996031746,16
RUBYMILLS.NS,Textiles,Process Industries,450.29998779296875,454.79998779296875,-0.9894459368473996,93,31.321083641928137,119.34824030382303,44940.448,17
SSWL.NS,Auto Parts: OEM,Producer Manufacturing,373.1000061035156,374.95001220703125,-0.49340073164049203,93,65.2127720313419,94.12071385411534,635095.717131474,18
OMNI.NS,Metal Fabrication,Producer Manufacturing,525.9000244140625,764.8499755859375,-31.241414499467012,93,11.857924330815361,151.6870218209815,1087889.9770992366,12
DOLPHIN.NS,Oilfield Services/Equipment,Industrial Services,687.75,682.7999877929688,0.7249578640197818,93,77.46097836736345,50.95478287674522,117153.09523809524,2
SHANTIGEAR.NS,Auto Parts: OEM,Producer Manufacturing,704.0,711.5,-1.054111033028815,93,60.285554000859065,57.13397290382998,110153.73809523809,18
EXICOM.NS,Electrical Products,Producer Manufacturing,181.64999389648438,187.60000610351562,-3.1716481948023456,93,28.13006166479335,112.55557669376176,2110564.7351778657,19
BALAMINES.NS,Chemicals: Specialty,Process Industries,2475.39990234375,2629.800048828125,-5.871174371343468,93,16.62746010126648,137.39514406156724,308490.0158102767,11
SYRMA.NS,Electronic Production Equipment,Electronic Technology,1639.199951171875,1660.0,-1.253014989646084,93,32.799990347807274,115.59278549134953,1503881.9523809524,7
ARROWGREEN.NS,Containers/Packaging,Process Industries,800.7000122070312,821.5999755859375,-2.5438125608512996,92,39.72603250387081,109.8820477606897,57529.41434262948,9
MTARTECH.NS,Aerospace & Defense,Electronic Technology,7799.5,8714.0,-10.494606380537064,92,23.6837932128132,110.14981422709566,715564.7182539683,16
KOPRAN.NS,Pharmaceuticals: Major,Health Technology,239.50999450683594,249.99000549316406,-4.192171989297666,92,37.02064135833039,93.15206861491939,398419.8888888889,13
ANTELOPUS.NS,Integrated Oil,Energy Minerals,1099.1500244140625,1116.800048828125,-1.5804104264306673,92,31.390836226523568,93.10435714015341,509774.2766798419,14
UNIPARTS.NS,Auto Parts: OEM,Producer Manufacturing,898.0,915.9500122070312,-1.9597152647860883,92,42.53125929399091,97.01442012582928,207200.33067729083,18
RML.NS,Auto Parts: OEM,Producer Manufacturing,1390.0,1423.5,-2.3533544081489333,92,58.19973555760958,70.78903731908031,49268.23809523809,18
UFLEX.NS,Containers/Packaging,Process Industries,686.75,723.5,-5.079474775397374,91,70.2667742488065,54.017475243746894,190455.56972111555,9
AEGISLOG.NS,Wholesale Distributors,Distribution Services,1268.0999755859375,1497.800048828125,-15.335830267992334,91,34.991211444529505,106.7727015507741,1354501.2777777778,15
HAPPYFORGE.NS,Metal Fabrication,Producer Manufacturing,2230.300048828125,2470.0,-9.704451464448383,91,67.87343708179496,73.24550295204335,77951.66007905138,12
MANALIPETC.NS,Chemicals: Specialty,Process Industries,90.08000183105469,90.88999938964844,-0.8911844691749438,91,38.1595184775285,80.19603682041216,1405646.162055336,11
CNL.NS,Electronics Distributors,Distribution Services,1149.199951171875,1328.0,-13.463859098503384,91,64.3122549408891,82.84804314588305,82983.752,3
DPEL.NS,Electrical Products,Producer Manufacturing,600.75,603.0,-0.3731343283582045,91,22.60204081632653,107.08375986232693,53824.0,19
MARKSANS.NS,Pharmaceuticals: Major,Health Technology,335.8999938964844,344.5490677430362,-2.5102589605618286,91,34.82249533249926,93.51203431846551,1927728.7341269841,13
MSTCLTD.NS,Internet Retail,Retail Trade,778.5499877929688,795.0,-2.069183925412732,91,36.93606622263603,84.05437063663564,517634.17786561267,6
NEULANDLAB.NS,Pharmaceuticals: Major,Health Technology,23995.0,24100.0,-0.435684647302903,91,41.632864103609066,90.83388625542726,57407.51587301587,13
LAURUSLABS.NS,Pharmaceuticals: Major,Health Technology,1946.9000244140625,1952.0,-0.2612692410828621,90,39.98417860673087,87.74937203040247,2101148.388888889,13
KALYANKJIL.NS,Specialty Stores,Retail Trade,612.5999755859375,648.9500122070312,-5.601361574440833,90,85.18742387902788,55.93737204232547,9866024.805555556,8
PARACABLES.NS,Electrical Products,Producer Manufacturing,69.05000305175781,75.69999694824219,-8.78466864540447,90,7.6887088178401175,111.615080574517,1779548.375494071,19
AIMTRON.NS,Electronic Components,Electronic Technology,1622.5,1780.0,-8.84831460674157,90,26.752856381309865,106.43806537312055,45595.983935742974,4
TDPOWERSYS.NS,Electrical Products,Producer Manufacturing,768.7999877929688,798.8499755859375,-3.7616559693737006,90,29.032650968537332,91.75250810867095,2460606.37944664,19
