Ticker,Current_Price,High_52W,Pct_From_High,Avg_Volume,Return_1W,Return_1M,Return_3M,Return_6M,RS_Composite,EMA_10,EMA_20,SMA_50,SMA_100,SMA_200,RS_Percentile
HATSUN.NS,1168.0,1222.0,-4.418985270049102,78792.17928286853,-2.1447701164178157,23.925729442970823,27.768962293541065,27.5913941587161,0.23937915228501144,1148.5472912906373,1098.0318449043887,978.4490014648437,954.1481848144531,945.6460208129882,72
PRICOLLTD.NS,748.9500122070312,823.0,-8.997568383106769,625518.208,-6.028856686696205,2.2038789141772153,36.04904853897026,33.47888875327938,0.24044160177168655,769.7705432286507,765.5354876840321,708.3149987792968,642.1094995117187,618.9332496643067,72
ZYDUSWELL.NS,559.7999877929688,611.8499755859375,-8.506985350963381,1025378.496031746,4.713807212469723,10.610547528519398,10.853418732475873,45.95844437251366,0.2423289359569908,541.6978908398595,535.3255754308908,548.3009399414062,527.9055432128906,479.13190963745114,72
YATHARTH.NS,979.0,1024.8499755859375,-4.473823162236378,497244.50996015937,0.4308588694733606,8.993553318173841,18.614707794385453,43.759834793836916,0.24930142806432506,962.116213777437,934.1463251941802,874.858564453125,847.7768621826172,761.1167962646484,72
ALKYLAMINE.NS,1973.9000244140625,2115.0,-6.6713936447251765,127480.196,-1.492166068742673,4.2240878065752385,10.470394109626202,52.0057045184648,0.24639000994714563,2002.58203637149,1982.1534366980768,1903.1000048828125,1798.1685131835939,1651.8305395507812,72
ECLERX.NS,1908.0,2496.1160957516863,-23.56124768205461,296405.628,-3.4852558836142467,7.911242943029118,40.39253375680727,27.325698897568884,0.24281762686314132,1928.7515904800355,1900.2756987565851,1796.6780615234375,1636.4848095703126,1806.8630676269531,72
BALRAMCHIN.NS,696.2000122070312,780.9500122070312,-10.852167062586926,1182781.6706349207,3.9492366117254596,10.895193651488079,28.937863962875433,34.129665461955774,0.24907187765115102,691.3823408972279,677.3901023273922,633.87099609375,584.0424987792969,520.2589994812012,72
UTTAMSUGAR.NS,282.70001220703125,359.29998779296875,-21.319225769101603,153768.82868525895,-4.5899345751711955,9.268711685677445,22.269799748280473,40.26296597695125,0.24180875194883011,293.0989681534352,289.3179820785752,260.81639984130857,251.99090057373047,239.881600189209,72
DATAPATTNS.NS,4872.0,5000.0,-2.5599999999999956,869904.6812749004,7.90219235589853,9.984869972815336,16.114635123869036,41.862403851752084,0.24366545308014464,4692.049208595707,4635.582639120925,4493.166596679687,4349.782697753906,3615.6123205566405,72
PRUDENT.NS,3291.60009765625,4105.5,-19.824623123706008,37672.44578313253,-10.418022394441273,-2.378550032934146,21.05598823990078,47.113122997467215,0.23644533424926165,3354.089144513057,3335.772410978227,3176.6859326171875,2992.760388183594,2726.049461669922,71
GREENPLY.NS,295.95001220703125,333.81821311913393,-11.343958904539509,440424.42629482073,3.4067084500845723,4.68694709156805,1.355826447943742,54.00020294756727,0.23284889376732099,293.4514935166666,291.8330159999131,297.8562658691406,284.283141784668,259.1401692962647,71
SKFINDUS.NS,2970.199951171875,3131.0,-5.135740939895406,37814.734042553195,0.5824568632534666,9.187178779779149,25.97118200618034,32.77125534836423,0.22795538183480968,2956.666274044724,2888.2291211115325,2781.5984814453127,2545.305515136719,,71
COHANCE.NS,440.75,1027.0,-57.08373904576436,1881834.568,-3.3337014585119618,-1.1217049915872135,2.3809523809523725,55.99009698876656,0.22552613365623694,453.427147169755,451.4941990944499,444.625,440.52499908447265,424.26925018310544,71
STYLEBAAZA.NS,389.8999938964844,447.1000061035156,-12.793561043653378,838820.8174603175,-1.4034689946200496,10.312627084619464,16.806473383788823,41.730274535061774,0.23656230346623247,394.8744737095098,385.4691638599736,338.5739971923828,345.30649719238284,319.5709986877441,71
MCX.NS,3379.10009765625,3471.4939344339746,-2.661500740682965,3081136.234126984,2.833234864767187,17.007937146671527,18.73044630736469,33.80390808740219,0.22825608042981307,3291.085978411163,3195.879155521226,2933.116357421875,2958.7399462890626,2659.1177893066406,71
THYROCARE.NS,572.0999755859375,662.0,-13.58006411088557,791628.632,-5.359805527553762,-5.163700690271444,8.773732821196777,54.48391413013318,0.2285696480760264,583.3153454648974,586.5711754563033,574.3729986572266,527.0918151855469,470.8034997558594,71
RANEHOLDIN.NS,1675.5,1846.1341245121132,-9.24278048092565,23712.8373015873,4.3795197462348945,-5.669404005187406,18.579000581331616,44.2930195050091,0.22594979149989136,1643.880869891976,1643.5396596722392,1683.0606469726563,1520.0394287109375,1370.8752359008788,71
IPCALAB.NS,1970.4000244140625,2001.5,-1.5538334042436874,283132.876,-0.8653628186327866,16.882190493693216,22.536003334730893,32.5939519346917,0.23088283591171313,1951.7139717496952,1914.3709046105644,1828.2821630859376,1700.3594714355468,1584.3543078613282,71
